24637,ANTH,1120,10,10:00:00,10:50:00,MW,HALE 230,"Ortman,Scott Graham",Main Campus
24638,ANTH,1120,11,17:00:00,17:50:00,W,CLRE 209,"Ortman,Scott Graham",Main Campus
24639,ANTH,1120,12,15:00:00,15:50:00,W,CLUB 4,"Ortman,Scott Graham",Main Campus
24640,ANTH,1120,13,08:00:00,08:50:00,F,CLRE 209,"Ortman,Scott Graham",Main Campus
31983,ANTH,1140,100,11:00:00,11:50:00,MW,MCOL W100,"Kurnick,Sarah Jill",Main Campus
25316,ANTH,1145,10,13:00:00,13:50:00,MW,MCOL W100,"Gutierrez,Gerardo",Main Campus
25314,ANTH,1155,40,11:00:00,11:50:00,MWF,HALE 260,"Jones,Carla Mae",Main Campus
22710,ANTH,1170,200,14:00:00,14:50:00,TTH,MUEN E050,"Hammons,Christian Stanford",Main Campus
18366,ANTH,2020,1,09:30:00,10:45:00,TTH,CHEM 140,"Leigh,Steven Robert",Main Campus
19589,ANTH,2040,1,10:00:00,11:50:00,T,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19617,ANTH,2040,2,12:00:00,13:50:00,T,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19618,ANTH,2040,3,14:00:00,15:50:00,T,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19619,ANTH,2040,4,16:00:00,17:50:00,T,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19620,ANTH,2040,5,09:00:00,10:50:00,W,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19621,ANTH,2040,6,11:00:00,12:50:00,W,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19622,ANTH,2040,7,13:00:00,14:50:00,W,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19623,ANTH,2040,8,15:00:00,16:50:00,W,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19624,ANTH,2040,9,17:00:00,18:50:00,W,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19625,ANTH,2040,10,10:00:00,11:50:00,TH,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19626,ANTH,2040,11,12:00:00,13:50:00,TH,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19627,ANTH,2040,12,14:00:00,15:50:00,TH,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19628,ANTH,2040,15,12:00:00,13:50:00,F,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
19629,ANTH,2040,16,14:00:00,15:50:00,F,HALE 246,"Paine,Oliver Charles Colvill",Main Campus
18351,ANTH,2100,10,12:00:00,12:50:00,MW,HUMN 150,"Goldfarb,Kathryn",Main Campus
24429,ANTH,2100,880,11:00:00,11:50:00,MWF,LIBR N424A,"Fischer,Katherine Virginia",Main Campus
18367,ANTH,2200,10,11:00:00,12:15:00,TTH,HALE 270,"Bamforth,Douglas",Main Campus
31994,ANTH,2525,100,12:00:00,12:50:00,MW,HLMS 252,"Jacka,Jerry Keith",Main Campus
31991,ANTH,3010,1,12:30:00,13:45:00,TTH,HALE 230,"Covert,Herbert",Main Campus
24673,ANTH,3119,1,15:30:00,16:45:00,TTH,CLRE 104,"Baxter,Leigh Erin",Main Campus
24674,ANTH,3119,2,17:00:00,18:15:00,TTH,CLRE 104,"Baxter,Leigh Erin",Main Campus
25406,ANTH,4020,4,15:00:00,16:15:00,MW,CLUB 13,"Gutierrez,Gerardo",Main Campus
32007,ANTH,4125,100,12:30:00,13:45:00,TTH,HALE 455,"Sauther,Michelle Linda",Main Campus
25407,ANTH,4180,1,17:00:00,18:15:00,TTH,HALE 240,"DeLuca,Laura Marie",Main Campus
36379,ANTH,4180,2,12:00:00,14:30:00,W,HALE 450,"Sponheimer,Matthew James",Main Campus
24336,ANTH,4580,1,14:00:00,15:15:00,TTH,HUMN 250,"Shankman,P",Main Campus
36347,ANTH,4700,10,15:00:00,16:15:00,MW,HLMS 251,"Goldfarb,Kathryn",Main Campus
18452,ANTH,4720,800,09:00:00,11:30:00,TH,See Academc Dept,"Cool,Alison Collier",Main Campus
22711,ANTH,4730,1,14:00:00,15:15:00,TTH,HALE 455,"Goldstein,Donna M",Main Campus
36383,ANTH,4735,1,13:00:00,13:50:00,MWF,HALE 240,"Roland,Lorecia Kaifa-Aliya",Main Campus
24646,ANTH,4800,1,10:00:00,10:50:00,MWF,HALE 260,,Main Campus
38201,ANTH,2010,300E,18:00:00,19:30:00,TH,,"Emerson,Cherriethel Kathleen W",Continuing Education
38203,ANTH,2100,300E,17:30:00,19:00:00,W,,"Merriman,Danielle Reaney",Continuing Education
36386,ANTH,5785,1,09:30:00,12:00:00,T,HALE 455,"McGranahan,Carole Ann",Main Campus
23723,ANTH,7000,1,14:00:00,16:30:00,M,HALE 455,"Cool,Alison Collier",Main Campus
36418,ANTH,7000,2,13:00:00,15:30:00,W,HALE 455,"Jones,Carla Mae",Main Campus
36426,ANTH,7000,3,10:00:00,12:30:00,TH,HALE 450,"Shannon,Jennifer",Main Campus
24154,ANTH,7030,1,15:15:00,17:45:00,T,HALE 455,"Ortman,Scott Graham",Main Campus
